Type,Month,Year,Area,Sales,Dollar Volume,Average Price,Median Price,New Listings,SNLR Trend,Active Listings,Mos Inv (Trend),Avg. SP/LP,Avg. LDOM,Avg. PDOM
All Home Types,2,2025,Toronto C12,20,"$108,540,167 ","$5,427,008 ","$2,445,000 ",61,27.10%,145,8.5,91%,24,36
All Home Types,2,2025,Toronto C13,37,"$41,662,000 ","$1,126,000 ","$833,000 ",126,36.50%,200,4.3,99%,33,50
All Home Types,2,2025,Toronto C14,58,"$51,158,339 ","$882,040 ","$695,000 ",193,33.50%,347,5.1,97%,36,57
All Home Types,2,2025,Toronto C15,63,"$61,839,400 ","$981,578 ","$760,000 ",216,35.20%,379,4.4,100%,33,52
All Home Types,2,2025,Toronto East,359,"$371,989,561 ","$1,036,183 ","$999,000 ",954,44.50%,"1,338",2.8,104%,22,34
All Home Types,2,2025,Toronto E01,49,"$60,252,033 ","$1,229,633 ","$1,205,000 ",110,46.80%,118,2.1,109%,13,22
All Home Types,2,2025,Toronto E02,36,"$45,771,531 ","$1,271,431 ","$1,365,000 ",64,50.90%,65,1.9,106%,21,29
All Home Types,2,2025,Toronto E03,37,"$42,809,537 ","$1,157,015 ","$1,190,000 ",88,51.70%,106,1.9,106%,25,32
All Home Types,2,2025,Toronto E04,34,"$29,510,599 ","$867,959 ","$895,500 ",104,43.30%,161,2.9,101%,20,31
All Home Types,2,2025,Toronto E05,36,"$36,248,416 ","$1,006,900 ","$1,030,500 ",76,46.50%,136,3,107%,21,27
All Home Types,2,2025,Toronto E06,18,"$18,275,877 ","$1,015,327 ","$923,000 ",58,39.50%,84,3.2,101%,23,48
All Home Types,2,2025,Toronto E07,35,"$32,520,788 ","$929,165 ","$930,000 ",81,44.10%,123,3.1,104%,23,36
All Home Types,2,2025,Toronto E08,25,"$25,687,188 ","$1,027,488 ","$897,900 ",80,39.00%,127,3.7,98%,26,48
All Home Types,2,2025,Toronto E09,40,"$32,295,876 ","$807,397 ","$867,500 ",133,39.80%,182,3.2,103%,20,40
All Home Types,2,2025,Toronto E10,30,"$30,555,716 ","$1,018,524 ","$982,500 ",66,44.60%,90,2.8,102%,30,32
All Home Types,2,2025,Toronto E11,19,"$18,062,000 ","$950,632 ","$940,000 ",94,41.20%,146,3.3,102%,36,44
All Home Types,3,2025,All TRREB Areas,"5,011","$5,478,296,042 ","$1,093,254 ","$945,000 ","17,263",36.60%,"23,462",3.9,100%,24,36
